Country,Code,Year,Meat_total
Bahamas,BHS,1961,126.7
Brunei,BRN,1961,1289.8
Qatar,QAT,1961,1769.2
Faroe Islands,FRO,1961,
Tuvalu,TUV,1961,3
Antigua and Barbuda,ATG,1961,395
Maldives,MDV,1961,4
Saint Kitts and Nevis,KNA,1961,447
Grenada,GRD,1961,615
Cape Verde,CPV,1961,656
Samoa,WSM,1961,171
Mauritius,MUS,1961,274
Oman,OMN,1961,3215
Gambia,GMB,1961,389
Martinique,MTQ,1961,546
Guyana,GUY,1961,5583
Malta,MLT,1961,6386
Sierra Leone,SLE,1961,8813
Burundi,BDI,1961,918
Jordan,JOR,1961,125
Cyprus,CYP,1961,1144
Eswatini,SWZ,1961,12139
Kuwait,KWT,1961,12375
Malawi,MWI,1961,12586
Libya,LBY,1961,14356
Benin,BEN,1961,19388
Iceland,ISL,1961,1947
Albania,ALB,1961,2541
Cambodia,KHM,1961,27223
Honduras,HND,1961,28263
Central African Republic,CAF,1961,28445
Panama,PAN,1961,2957
Mauritania,MRT,1961,321
Mozambique,MOZ,1961,375
East Timor,TLS,1961,3884
Saudi Arabia,SAU,1961,384
Zambia,ZMB,1961,445
Yemen,YEM,1961,4661
Singapore,SGP,1961,51891
Tunisia,TUN,1961,52154
Nepal,NPL,1961,62451
Ghana,GHA,1961,62493
Israel,ISR,1961,6255
Cameroon,CMR,1961,62562
Somalia,SOM,1961,78786
Algeria,DZA,1961,8284
North Korea,PRK,1961,86488
Uganda,UGA,1961,92123
Iraq,IRQ,1961,956
Myanmar,MMR,1961,16436
Afghanistan,AFG,1961,12942
Norway,NOR,1961,137659
Finland,FIN,1961,144
Morocco,MAR,1961,164813
Mongolia,MNG,1961,1655
Democratic Republic of Congo,COD,1961,16685
Bangladesh,BGD,1961,1689
Portugal,PRT,1961,17363
Venezuela,VEN,1961,29785
Peru,PER,1961,217253
Sudan (former),,1961,22855
Chile,CHL,1961,229344
Taiwan,TWN,1961,23542
Switzerland,CHE,1961,25951
Bulgaria,BGR,1961,289168
Egypt,EGY,1961,29596
Nigeria,NGA,1961,3435
Ireland,IRL,1961,311867
Iran,IRN,1961,31971
Philippines,PHL,1961,33416
Indonesia,IDN,1961,33815
Barbados,BRB,1961,283.7
Bhutan,BTN,1961,2892.2
Pakistan,PAK,1961,36589
Sweden,SWE,1961,367545
Vietnam,VNM,1961,374975
Colombia,COL,1961,44245
Austria,AUT,1961,453845
Ethiopia (former),OWID_ERE,1961,463418
Turkey,TUR,1961,477924
Belgium-Luxembourg (FAO),,1961,56855
Romania,ROU,1961,57117
South Africa,ZAF,1961,67347
Spain,ESP,1961,659863
Japan,JPN,1961,687135
Netherlands,NLD,1961,721
Fiji,FJI,1961,397.8
New Zealand,NZL,1961,741698
Western Africa (FAO),,1961,755762
Yugoslavia,OWID_YGS,1961,75949
Hungary,HUN,1961,7649
New Caledonia,NCL,1961,465.8
Northern Africa (FAO),,1961,838673
Denmark,DNK,1961,84625
Suriname,SUR,1961,4548.2
Mexico,MEX,1961,13181
Australia,AUS,1961,14927
Italy,ITA,1961,147315
Canada,CAN,1961,1478414
Poland,POL,1961,17179
South-eastern Asia (FAO),,1961,1812574
Reunion,REU,1961,7196.8
United Arab Emirates,ARE,1961,7571.1
Guinea-Bissau,GNB,1961,7738.5
United Kingdom,GBR,1961,221619
China,CHN,1961,222194
Oceania,,1961,229694
Oceania (FAO),,1961,229694
Argentina,ARG,1961,264313
Trinidad and Tobago,TTO,1961,992.5
Southern Europe (FAO),,1961,3253748
France,FRA,1961,36927
Northern Europe (FAO),,1961,42841
Germany,DEU,1961,4238328
Lower-middle-income countries,,1961,5794166
USSR,OWID_USS,1961,87
Asia,,1961,934635
Asia (FAO),,1961,94639
Western Europe (FAO),,1961,9925329
Eastern Europe (FAO),,1961,12796593
United States,USA,1961,1651333
European Union (27),,1961,1659825
European Union (27) (FAO),,1961,1715888
Northern America (FAO),,1961,17991448
North America,,1961,19582326
Upper-middle-income countries,,1961,22121494
Americas (FAO),,1961,2698392
Europe,,1961,2945463
Europe (FAO),,1961,348
High-income countries,,1961,4132764
World,OWID_WRL,1961,7135514
Malaysia,MYS,1961,125.55
South Korea,KOR,1961,16296.22
Comoros,COM,1961,193.15
Tanzania,TZA,1961,113327.6
Low-income countries,,1961,1137755.5
Land Locked Developing Countries (FAO),,1961,1157495.5
Rwanda,RWA,1961,11895.95
Central America (FAO),,1961,1227628.4
Eastern Africa (FAO),,1961,1261551.1
Togo,TGO,1961,13145.57
Belize,BLZ,1961,1368.59
Papua New Guinea,PNG,1961,13938.77
Madagascar,MDG,1961,143346.4
Melanesia,OWID_MNS,1961,15463.5
Greece,GRC,1961,155846.1
Paraguay,PRY,1961,1591.61
Lesotho,LSO,1961,1628.57
Guinea,GIN,1961,16297.6
Kenya,KEN,1961,16746.8
India,IND,1961,16969.5
Gabon,GAB,1961,17861.96
Cuba,CUB,1961,189287.6
Laos,LAO,1961,19436.75
Seychelles,SYC,1961,23.75
Jamaica,JAM,1961,21149.45
Brazil,BRA,1961,2119989.8
Cook Islands,COK,1961,218.58
Equatorial Guinea,GNQ,1961,22.95
Botswana,BWA,1961,22691.1
Nauru,NRU,1961,23.14
Vanuatu,VUT,1961,2312.43
Least Developed Countries (FAO),,1961,2487611.2
Guadeloupe,GLP,1961,2517.55
Low Income Food Deficit Countries (FAO),,1961,2523.2
China (FAO),,1961,2549889.5
Djibouti,DJI,1961,2669.27
Southern Asia (FAO),,1961,278489.5
Namibia,NAM,1961,3295.48
Polynesia,OWID_PYA,1961,3115.38
Sao Tome and Principe,STP,1961,327.73
Niue,NIU,1961,33.73
Puerto Rico,PRI,1961,33343.68
El Salvador,SLV,1961,33881.6
Uruguay,URY,1961,35392.28
Angola,AGO,1961,35719.5
Eastern Asia (FAO),,1961,359538.8
Caribbean (FAO),,1961,363249.72
Nicaragua,NIC,1961,36383.6
Middle Africa (FAO),,1961,364941.28
Costa Rica,CRI,1961,3675.2
Africa,,1961,368113.5
Burkina Faso,BFA,1961,3848.71
Africa (FAO),,1961,39968.5
Sri Lanka,LKA,1961,39136.9
Haiti,HTI,1961,423.85
Lebanon,LBN,1961,43.5
Macao,MAC,1961,471.62
Senegal,SEN,1961,4185.8
Thailand,THA,1961,41966.88
Chad,TCD,1961,43269.75
Syria,SYR,1961,4566.5
Net Food Importing Developing Countries (FAO),,1961,4683779.5
Tonga,TON,1961,473.52
Tokelau,TKL,1961,5.86
Bahrain,BHR,1961,5.5
Saint Vincent and the Grenadines,VCT,1961,514.5
Niger,NER,1961,52874.5
Dominican Republic,DOM,1961,53946.4
Guatemala,GTM,1961,58293.4
Dominica,DMA,1961,622.1
Small Island Developing States (FAO),,1961,632192.8
French Polynesia,PYF,1961,643.7
South America,,1961,651667.5
South America (FAO),,1961,651667.5
Southern Africa (FAO),,1961,688753.6
Kiribati,KIR,1961,713.5
Mali,MLI,1961,7269.84
Micronesia (FAO),,1961,736.64
Zimbabwe,ZWE,1961,74235.38
French Guiana,GUF,1961,752.78
Czechoslovakia,OWID_CZS,1961,753455.3
Cote d'Ivoire,CIV,1961,76866.33
Ecuador,ECU,1961,81868.69
Western Asia (FAO),,1961,853265.8
Solomon Islands,SLB,1961,868.26
Liberia,LBR,1961,869.72
Bolivia,BOL,1961,88392.25
Hong Kong,HKG,1961,88475.8
Congo,COG,1961,9684.38
Saint Lucia,LCA,1961,987.68
Bahamas,BHS,1962,1316.6
Qatar,QAT,1962,1825.8
Brunei,BRN,1962,1899.2
Faroe Islands,FRO,1962,
Tuvalu,TUV,1962,3
Maldives,MDV,1962,41
Grenada,GRD,1962,622
Cape Verde,CPV,1962,666
Samoa,WSM,1962,182
Oman,OMN,1962,3285
Suriname,SUR,1962,4676
Guyana,GUY,1962,575
Malta,MLT,1962,582
Trinidad and Tobago,TTO,1962,1213
Kuwait,KWT,1962,11755
Jordan,JOR,1962,12824
Malawi,MWI,1962,1328
Eswatini,SWZ,1962,13466
Libya,LBY,1962,15945
Benin,BEN,1962,1972
Iceland,ISL,1962,21256
Albania,ALB,1962,2572
Central African Republic,CAF,1962,2899
Cambodia,KHM,1962,29821
Honduras,HND,1962,3674
Panama,PAN,1962,3159
Mauritania,MRT,1962,3316
Angola,AGO,1962,36849
East Timor,TLS,1962,37999
Saudi Arabia,SAU,1962,3885
Mozambique,MOZ,1962,38922
Sri Lanka,LKA,1962,44216
Tokelau,TKL,1962,6.2
Yemen,YEM,1962,47635
Tunisia,TUN,1962,5293
Singapore,SGP,1962,51887
Ghana,GHA,1962,61284
Cameroon,CMR,1962,6396
Nepal,NPL,1962,64296
Israel,ISR,1962,72325
Algeria,DZA,1962,816
Somalia,SOM,1962,8283
North Korea,PRK,1962,87422
Uganda,UGA,1962,89836
Iraq,IRQ,1962,9588
Mongolia,MNG,1962,14558
Morocco,MAR,1962,15459
Finland,FIN,1962,1615
Norway,NOR,1962,166573
Democratic Republic of Congo,COD,1962,16719
Bangladesh,BGD,1962,17795
Portugal,PRT,1962,185146
Cuba,CUB,1962,199819
Guadeloupe,GLP,1962,2497.3
Venezuela,VEN,1962,21985
Peru,PER,1962,22176
Chile,CHL,1962,23397
Sudan (former),,1962,23455
Taiwan,TWN,1962,237386
Switzerland,CHE,1962,264921
Nigeria,NGA,1962,29458
Egypt,EGY,1962,3184
Bulgaria,BGR,1962,32933
Ireland,IRL,1962,35487
Djibouti,DJI,1962,2744.6
Iran,IRN,1962,334575
Uruguay,URY,1962,353535
Indonesia,IDN,1962,35875
Barbados,BRB,1962,2894.5
Pakistan,PAK,1962,37733
Vietnam,VNM,1962,38845
Sweden,SWE,1962,44828
Turkey,TUR,1962,475556
Colombia,COL,1962,47611
Ethiopia (former),OWID_ERE,1962,476962
Austria,AUT,1962,488636
Belgium-Luxembourg (FAO),,1962,64283
Romania,ROU,1962,6837
Spain,ESP,1962,679673
Gambia,GMB,1962,3966.4
Fiji,FJI,1962,413.4
Yugoslavia,OWID_YGS,1962,7765
Hungary,HUN,1962,7777
Netherlands,NLD,1962,786983
New Zealand,NZL,1962,85562
Northern Africa (FAO),,1962,837378
New Caledonia,NCL,1962,4277.8
Japan,JPN,1962,87959
Denmark,DNK,1962,9569
Martinique,MTQ,1962,4731.5
Mexico,MEX,1962,184881
Macao,MAC,1962,569.3
Canada,CAN,1962,1488155
Italy,ITA,1962,15796
Australia,AUS,1962,158723
Poland,POL,1962,17483
South-eastern Asia (FAO),,1962,1914494
Reunion,REU,1962,7446.4
United Arab Emirates,ARE,1962,7593.8
Guinea-Bissau,GNB,1962,7738.5
United Kingdom,GBR,1962,2289997
Oceania,,1962,2551376
Oceania (FAO),,1962,2551376
Least Developed Countries (FAO),,1962,25534
Low Income Food Deficit Countries (FAO),,1962,2582561
Sierra Leone,SLE,1962,924.2
China,CHN,1962,268496
Burundi,BDI,1962,9547.8
Argentina,ARG,1962,282971
Africa,,1962,372323
France,FRA,1962,38399
Africa (FAO),,1962,3957753
Northern Europe (FAO),,1962,4255331
Germany,DEU,1962,4282224
Net Food Importing Developing Countries (FAO),,1962,4773595
USSR,OWID_USS,1962,94572
Asia,,1962,993224
Asia (FAO),,1962,9915224
Western Europe (FAO),,1962,1266947
Eastern Europe (FAO),,1962,13655594
United States,USA,1962,16589528
European Union (27),,1962,17252442
European Union (27) (FAO),,1962,17856726
Northern America (FAO),,1962,1877684
North America,,1962,1977852
Upper-middle-income countries,,1962,23853832
Americas (FAO),,1962,26615952
Europe,,1962,311525
Europe (FAO),,1962,3167534
High-income countries,,1962,423614
World,OWID_WRL,1962,7464784
Congo,COG,1962,13.37
Saint Lucia,LCA,1962,112.97
Myanmar,MMR,1962,17457.7
Malaysia,MYS,1962,19217.49
Tanzania,TZA,1962,113895.4
Land Locked Developing Countries (FAO),,1962,1156684.2
Comoros,COM,1962,1163.13
Low-income countries,,1962,116897.1
Cyprus,CYP,1962,11999.5
Hong Kong,HKG,1962,12154.23
Rwanda,RWA,1962,1226.99
Eastern Africa (FAO),,1962,1279833.6
Central America (FAO),,1962,131555.4
Afghanistan,AFG,1962,13225.73
Togo,TGO,1962,1331.18
Papua New Guinea,PNG,1962,142828.6
Belize,BLZ,1962,1472.66
Madagascar,MDG,1962,148662.95
Paraguay,PRY,1962,151729.4
Melanesia,OWID_MNS,1962,154467.61
Kenya,KEN,1962,161752.3
Guinea,GIN,1962,1671.81
Lesotho,LSO,1962,17166.35
India,IND,1962,1738373.5
Greece,GRC,1962,177652.7
Seychelles,SYC,1962,18.13
Gabon,GAB,1962,18878.26
Laos,LAO,1962,2225.5
Jamaica,JAM,1962,2872.35
Brazil,BRA,1962,2172514.5
Cook Islands,COK,1962,221.92
Nauru,NRU,1962,23.65
Equatorial Guinea,GNQ,1962,236.78
Vanuatu,VUT,1962,2446.66
Botswana,BWA,1962,26348.52
Southern Asia (FAO),,1962,2872491.8
China (FAO),,1962,347569.5
Mauritius,MUS,1962,363.95
Bhutan,BTN,1962,3162.39
Antigua and Barbuda,ATG,1962,329.4
Namibia,NAM,1962,32924.85
Costa Rica,CRI,1962,336.4
El Salvador,SLV,1962,33799.2
Polynesia,OWID_PYA,1962,341.89
Southern Europe (FAO),,1962,3429661.8
Puerto Rico,PRI,1962,35182.92
Sao Tome and Principe,STP,1962,357.24
Niue,NIU,1962,36.45
Philippines,PHL,1962,37425.1
Middle Africa (FAO),,1962,374632.4
Caribbean (FAO),,1962,377663.28
Nicaragua,NIC,1962,3869.2
Burkina Faso,BFA,1962,38666.97
Haiti,HTI,1962,4199.62
Eastern Asia (FAO),,1962,4245198.5
Thailand,THA,1962,435661.94
Zambia,ZMB,1962,43847.9
Saint Kitts and Nevis,KNA,1962,442.65
Senegal,SEN,1962,4473.8
Chad,TCD,1962,4814.75
Lebanon,LBN,1962,4945.5
Bahrain,BHR,1962,529.5
Saint Vincent and the Grenadines,VCT,1962,53.26
Niger,NER,1962,53542.5
Syria,SYR,1962,53575.5
Dominican Republic,DOM,1962,55478.8
Lower-middle-income countries,,1962,5933391.5
South Africa,ZAF,1962,616472.5
Dominica,DMA,1962,62.41
Guatemala,GTM,1962,6212.9
Tonga,TON,1962,636.8
French Polynesia,PYF,1962,65.7
Small Island Developing States (FAO),,1962,651586.75
South America,,1962,68451.5
South America (FAO),,1962,68451.5
Southern Africa (FAO),,1962,76378.25
Kiribati,KIR,1962,717.75
Micronesia (FAO),,1962,741.4
Mali,MLI,1962,75685.76
Western Africa (FAO),,1962,75953.7
Zimbabwe,ZWE,1962,7657.68
Czechoslovakia,OWID_CZS,1962,7619.6
Cote d'Ivoire,CIV,1962,77678.69
French Guiana,GUF,1962,832.78
Ecuador,ECU,1962,8448.76
South Korea,KOR,1962,85568.6
Western Asia (FAO),,1962,88339.6
Liberia,LBR,1962,8912.86
Solomon Islands,SLB,1962,91.68
Bolivia,BOL,1962,92719.94
Bahamas,BHS,1963,1441.7
Brunei,BRN,1963,1824.8
Qatar,QAT,1963,1883.4
Faroe Islands,FRO,1963,
Tuvalu,TUV,1963,3
Antigua and Barbuda,ATG,1963,364
Maldives,MDV,1963,42
Bahrain,BHR,1963,549
Grenada,GRD,1963,624
Cape Verde,CPV,1963,748
Samoa,WSM,1963,298
Oman,OMN,1963,3381
Fiji,FJI,1963,4228
Martinique,MTQ,1963,485
Guyana,GUY,1963,576
Malta,MLT,1963,6713
Cyprus,CYP,1963,1317
Kuwait,KWT,1963,1385
Jordan,JOR,1963,13112
Eswatini,SWZ,1963,13346
Libya,LBY,1963,16717
Iceland,ISL,1963,2453
Albania,ALB,1963,25
Central African Republic,CAF,1963,29615
Panama,PAN,1963,32391
Cambodia,KHM,1963,3368
Namibia,NAM,1963,34125
Mauritania,MRT,1963,34145
East Timor,TLS,1963,38337
Saudi Arabia,SAU,1963,397
Mozambique,MOZ,1963,4332
Tokelau,TKL,1963,5.11
Senegal,SEN,1963,47413
Yemen,YEM,1963,488
Tunisia,TUN,1963,51213
Singapore,SGP,1963,53297
Cameroon,CMR,1963,66743
Nepal,NPL,1963,67581
Israel,ISR,1963,75175
Guadeloupe,GLP,1963,2116.3
Somalia,SOM,1963,8465
North Korea,PRK,1963,89285
Uganda,UGA,1963,95
Iraq,IRQ,1963,9634
Mongolia,MNG,1963,1472
Morocco,MAR,1963,147731
Kenya,KEN,1963,151163
Norway,NOR,1963,15978
Democratic Republic of Congo,COD,1963,16763
Finland,FIN,1963,1696
Bangladesh,BGD,1963,1864
Portugal,PRT,1963,189967
Peru,PER,1963,225365
Venezuela,VEN,1963,23399
Chile,CHL,1963,238566
Sudan (former),,1963,2485
Vanuatu,VUT,1963,269.4
Switzerland,CHE,1963,268387
Taiwan,TWN,1963,26883
Bulgaria,BGR,1963,28898
Egypt,EGY,1963,311
Ireland,IRL,1963,314355
Iran,IRN,1963,3154
Djibouti,DJI,1963,2838.9
Indonesia,IDN,1963,36317
Uruguay,URY,1963,3741
Pakistan,PAK,1963,385673
Sweden,SWE,1963,42821
Vietnam,VNM,1963,458
Barbados,BRB,1963,3186.8
Ethiopia (former),OWID_ERE,1963,471247
Turkey,TUR,1963,47749
Austria,AUT,1963,49496
Colombia,COL,1963,495285
Romania,ROU,1963,52991
Belgium-Luxembourg (FAO),,1963,596311
South Africa,ZAF,1963,656824
Southern Africa (FAO),,1963,752984
Yugoslavia,OWID_YGS,1963,758595
Hungary,HUN,1963,7811
New Zealand,NZL,1963,8915
Spain,ESP,1963,837
Northern Africa (FAO),,1963,842165
Netherlands,NLD,1963,842885
Japan,JPN,1963,86916
New Caledonia,NCL,1963,4288.8
Denmark,DNK,1963,91332
Mexico,MEX,1963,1112874
Eastern Africa (FAO),,1963,1283788
Macao,MAC,1963,5679.2
Canada,CAN,1963,1545859
Italy,ITA,1963,1566671
Poland,POL,1963,16616
Australia,AUS,1963,1711193
Guinea-Bissau,GNB,1963,7739.2
United Arab Emirates,ARE,1963,78.9
Reunion,REU,1963,7917.6
United Kingdom,GBR,1963,232664
Low Income Food Deficit Countries (FAO),,1963,2642593
Sierra Leone,SLE,1963,967.7
Burundi,BDI,1963,9636.4
France,FRA,1963,3797
China,CHN,1963,428119
Northern Europe (FAO),,1963,436267
Germany,DEU,1963,4429
Net Food Importing Developing Countries (FAO),,1963,488967
Eastern Asia (FAO),,1963,5895437
South America,,1963,7167211
South America (FAO),,1963,7167211
USSR,OWID_USS,1963,1195
Western Europe (FAO),,1963,1391679
Asia,,1963,11675245
Asia (FAO),,1963,11688262
Eastern Europe (FAO),,1963,14211575
European Union (27),,1963,17373754
United States,USA,1963,17452752
European Union (27) (FAO),,1963,179766
Northern America (FAO),,1963,18998612
North America,,1963,2757328
Upper-middle-income countries,,1963,26572798
Americas (FAO),,1963,27924538
Europe,,1963,31889974
Europe (FAO),,1963,32473268
High-income countries,,1963,43673156
World,OWID_WRL,1963,7882375
Saint Lucia,LCA,1963,146.87
Congo,COG,1963,1517.58
Trinidad and Tobago,TTO,1963,1824.5
Malaysia,MYS,1963,19846.53
South Korea,KOR,1963,114899.36
Myanmar,MMR,1963,117585.5
Land Locked Developing Countries (FAO),,1963,1182521.8
Tanzania,TZA,1963,119747.34
Low-income countries,,1963,129845.5
Comoros,COM,1963,1232.83
Rwanda,RWA,1963,12655.49
Hong Kong,HKG,1963,133944.23
Central America (FAO),,1963,136611.6
Afghanistan,AFG,1963,138971.36
Togo,TGO,1963,1398.97
Paraguay,PRY,1963,143988.2
Papua New Guinea,PNG,1963,145338.33
Malawi,MWI,1963,1472.51
Belize,BLZ,1963,159.77
Madagascar,MDG,1963,151421.25
Melanesia,OWID_MNS,1963,157422.8
Lesotho,LSO,1963,1794.83
Guinea,GIN,1963,17275.5
India,IND,1963,1756239.5
Greece,GRC,1963,186794.23
South-eastern Asia (FAO),,1963,199488.1
Gabon,GAB,1963,28.56
Laos,LAO,1963,2269.95
Cuba,CUB,1963,29246.8
Jamaica,JAM,1963,21393.45
Seychelles,SYC,1963,214.81
Benin,BEN,1963,2142.57
Brazil,BRA,1963,2195749.5
Cook Islands,COK,1963,227.7
Nauru,NRU,1963,24.19
Equatorial Guinea,GNQ,1963,244.5
Least Developed Countries (FAO),,1963,263973.5
Oceania,,1963,2682251.5
Oceania (FAO),,1963,2682251.5
Southern Asia (FAO),,1963,291967.5
Nigeria,NGA,1963,34721.5
Argentina,ARG,1963,379575.5
Botswana,BWA,1963,31594.2
Honduras,HND,1963,3164.5
Mauritius,MUS,1963,3314.13
Bhutan,BTN,1963,3435.15
El Salvador,SLV,1963,34528.8
Southern Europe (FAO),,1963,3563747.2
Polynesia,OWID_PYA,1963,3741.14
Puerto Rico,PRI,1963,37681.4
Sao Tome and Principe,STP,1963,378.4
Angola,AGO,1963,37963.88
Niue,NIU,1963,38.3
Africa,,1963,3814578.2
Middle Africa (FAO),,1963,38333.3
Caribbean (FAO),,1963,39265.78
Philippines,PHL,1963,397987.4
Africa (FAO),,1963,455428.2
Burkina Faso,BFA,1963,4176.93
Costa Rica,CRI,1963,41332.44
Gambia,GMB,1963,4151.16
Haiti,HTI,1963,4226.39
Zambia,ZMB,1963,43993.6
Saint Kitts and Nevis,KNA,1963,446.25
Thailand,THA,1963,449482.34
Nicaragua,NIC,1963,44989.2
Suriname,SUR,1963,4625.84
China (FAO),,1963,4689616.5
Sri Lanka,LKA,1963,47847.5
Chad,TCD,1963,5229.75
Lebanon,LBN,1963,54536.5
Saint Vincent and the Grenadines,VCT,1963,554.4
Dominican Republic,DOM,1963,5611.2
Syria,SYR,1963,563.5
Niger,NER,1963,633.5
Lower-middle-income countries,,1963,643629.5
Dominica,DMA,1963,612.44
Ghana,GHA,1963,61632.5
Tonga,TON,1963,666.68
Guatemala,GTM,1963,6688.9
Small Island Developing States (FAO),,1963,67231.75
French Polynesia,PYF,1963,675.35
Kiribati,KIR,1963,72.3
Micronesia (FAO),,1963,744.49
French Guiana,GUF,1963,754.51
Algeria,DZA,1963,75644.2
Czechoslovakia,OWID_CZS,1963,76367.4
Zimbabwe,ZWE,1963,78761.17
Western Africa (FAO),,1963,79316.75
Cote d'Ivoire,CIV,1963,79446.44
Mali,MLI,1963,8384.16
Ecuador,ECU,1963,8324.71
Western Asia (FAO),,1963,9369.3
Liberia,LBR,1963,9177.63
Bolivia,BOL,1963,9413.55
Solomon Islands,SLB,1963,958.27
Saint Lucia,LCA,1964,112.1
Brunei,BRN,1964,1583.5
Bahamas,BHS,1964,159.3
Faroe Islands,FRO,1964,
Tuvalu,TUV,1964,3
Maldives,MDV,1964,43
Bahrain,BHR,1964,567
Grenada,GRD,1964,632
Tonga,TON,1964,736
Cape Verde,CPV,1964,848
Samoa,WSM,1964,2182
Oman,OMN,1964,3464
New Caledonia,NCL,1964,415
Gambia,GMB,1964,4344
Malta,MLT,1964,639
Guyana,GUY,1964,6836
Trinidad and Tobago,TTO,1964,1288
Qatar,QAT,1964,1935.6
Jordan,JOR,1964,13676
Eswatini,SWZ,1964,13695
Cyprus,CYP,1964,1373
Kuwait,KWT,1964,14838
Libya,LBY,1964,1794
Iceland,ISL,1964,19437
Albania,ALB,1964,237
Central African Republic,CAF,1964,29935
Honduras,HND,1964,31559
Panama,PAN,1964,32424
Mauritania,MRT,1964,35542
Namibia,NAM,1964,36241
Cambodia,KHM,1964,39572
Saudi Arabia,SAU,1964,45
Mozambique,MOZ,1964,41799
East Timor,TLS,1964,4358
Tokelau,TKL,1964,15.7
Nauru,NRU,1964,24.7
Yemen,YEM,1964,49175
Singapore,SGP,1964,51762
Tunisia,TUN,1964,537
Cameroon,CMR,1964,63616
Ghana,GHA,1964,64442
Nepal,NPL,1964,6876
Israel,ISR,1964,8185
Somalia,SOM,1964,84427
Mali,MLI,1964,85219
Uganda,UGA,1964,9639
North Korea,PRK,1964,9464
Iraq,IRQ,1964,976
Tanzania,TZA,1964,12629
Guadeloupe,GLP,1964,2237.3
Mongolia,MNG,1964,14272
Afghanistan,AFG,1964,14383
Morocco,MAR,1964,14823
Paraguay,PRY,1964,155953
Norway,NOR,1964,16214
Democratic Republic of Congo,COD,1964,1724
Finland,FIN,1964,181
Portugal,PRT,1964,19115
Bangladesh,BGD,1964,1965
Chile,CHL,1964,212157
Cuba,CUB,1964,223789
Peru,PER,1964,243656
Sudan (former),,1964,24855
Venezuela,VEN,1964,252785
Switzerland,CHE,1964,275787
Taiwan,TWN,1964,284921
Ireland,IRL,1964,3437
Bulgaria,BGR,1964,3486
Egypt,EGY,1964,31415
Iran,IRN,1964,317525
Nigeria,NGA,1964,33136
Djibouti,DJI,1964,2892.2
Indonesia,IDN,1964,37566
Pakistan,PAK,1964,396276
Sweden,SWE,1964,4138
Vietnam,VNM,1964,4574
Uruguay,URY,1964,4621
Turkey,TUR,1964,46539
Ethiopia (former),OWID_ERE,1964,478832
Austria,AUT,1964,498643
Colombia,COL,1964,5645
Barbados,BRB,1964,333.7
Belgium-Luxembourg (FAO),,1964,571731
Romania,ROU,1964,6221
Hungary,HUN,1964,787
Netherlands,NLD,1964,81548
Yugoslavia,OWID_YGS,1964,83817
New Zealand,NZL,1964,834994
Fiji,FJI,1964,4433.3
Spain,ESP,1964,932133
Denmark,DNK,1964,94695
Japan,JPN,1964,973145
Martinique,MTQ,1964,4648.5
Suriname,SUR,1964,4975.4
Mexico,MEX,1964,1142929
Land Locked Developing Countries (FAO),,1964,1222562
Poland,POL,1964,16689
Canada,CAN,1964,1688163
Italy,ITA,1964,16888
Australia,AUS,1964,178579
India,IND,1964,1789642
Reunion,REU,1964,7344.4
Guinea-Bissau,GNB,1964,7753.9
United Arab Emirates,ARE,1964,817.6
Brazil,BRA,1964,2288777
United Kingdom,GBR,1964,233187
Argentina,ARG,1964,2518595
Low Income Food Deficit Countries (FAO),,1964,27734
Liberia,LBR,1964,9483.4
Oceania,,1964,2781528
Oceania (FAO),,1964,2781528
Southern Asia (FAO),,1964,2967867
France,FRA,1964,37818
Africa,,1964,3964164
Africa (FAO),,1964,4212714
Northern Europe (FAO),,1964,434541
Germany,DEU,1964,45938
Net Food Importing Developing Countries (FAO),,1964,59824
China,CHN,1964,554426
China (FAO),,1964,598768
South America,,1964,683325
Eastern Asia (FAO),,1964,7329435
USSR,OWID_USS,1964,8287
Western Europe (FAO),,1964,1536449
Eastern Europe (FAO),,1964,1249579
Asia,,1964,13275711
Asia (FAO),,1964,13289441
European Union (27),,1964,17935644
European Union (27) (FAO),,1964,1857376
United States,USA,1964,18545968
Northern America (FAO),,1964,223413
North America,,1964,224613
Upper-middle-income countries,,1964,25821774
Americas (FAO),,1964,2887938
Europe,,1964,3686422
Europe (FAO),,1964,31244422
High-income countries,,1964,457977
World,OWID_WRL,1964,84749
Sierra Leone,SLE,1964,1127.48
Burundi,BDI,1964,118.8
Congo,COG,1964,1548.18
Malaysia,MYS,1964,11597.92
Low-income countries,,1964,1243613.8
Rwanda,RWA,1964,12474.7
Myanmar,MMR,1964,125718.75
Comoros,COM,1964,133.92
Eastern Africa (FAO),,1964,138933.8
South Korea,KOR,1964,138197.94
Central America (FAO),,1964,1396826.2
Hong Kong,HKG,1964,144972.38
Togo,TGO,1964,1456.6
Papua New Guinea,PNG,1964,148829.98
Belize,BLZ,1964,1499.98
Malawi,MWI,1964,1555.2
Lesotho,LSO,1964,15146.3
Madagascar,MDG,1964,155846.75
Melanesia,OWID_MNS,1964,161151.25
Kenya,KEN,1964,162115.4
Guinea,GIN,1964,17791.69
Greece,GRC,1964,199399.73
South-eastern Asia (FAO),,1964,293699.6
Gabon,GAB,1964,2166.6
Seychelles,SYC,1964,219.43
Cook Islands,COK,1964,221.38
Benin,BEN,1964,22342.77
Jamaica,JAM,1964,22538.75
Laos,LAO,1964,24615.8
Equatorial Guinea,GNQ,1964,256.11
Least Developed Countries (FAO),,1964,2721432.2
Vanuatu,VUT,1964,2757.57
